net,length_um
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[13\],144.585µm
u_fft_core.shift_r2_ff3_data1_re\[6\],144.33µm
u_fft_core.mdc_ff1_data1_im\[7\],143.79µm
net2801,143.7µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[9\],143.58µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.i_valid,143.5µm
net3236,143.475µm
net4039,143.235µm
net3815,143.2µm
net3713,143.18µm
_02574_,143.155µm
u_fft_core.mdc_ff0_data0_re\[6\],142.975µm
u_fft_core.shift_r4_data2_im\[7\],142.94µm
_17259_,142.925µm
net3566,142.88µm
net3773,142.715µm
clknet_7_8__leaf_i_clk,142.7µm
net2847,142.67µm
net2776,142.62µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_bt0_i\[0\]\[0\],142.57µm
net3812,142.57µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data1_r\[7\],142.44µm
net2825,142.35µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage3.next_data1_r\[3\],142.2µm
net3972,141.985µm
net3382,141.88µm
_03412_,141.78µm
_05564_,141.77µm
clknet_7_42__leaf_i_clk,141.71µm
net3767,141.7µm
_02020_,141.68µm
net3364,141.545µm
u_fft_core.mdc_ff1_data0_re\[5\],141.435µm
net3337,141.39µm
net3344,141.12µm
clknet_7_45__leaf_i_clk,141.11µm
clknet_7_51__leaf_i_clk,141.05µm
_14763_,140.97µm
net3779,140.92µm
net3895,140.77µm
u_fft_core.mdc_ff3_data0_im\[1\],140.72µm
u_fft_core.u_twiddle_interface.data3_im_q\[4\],140.69µm
net3883,140.665µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_bt0_i\[0\]\[6\],140.65µm
net4108,140.37µm
net3349,140.305µm
net3836,140.27µm
net2919,140.18µm
clknet_7_29__leaf_i_clk,140.055µm
net9,140.005µm
net3806,139.95µm
